CD_REGIAO,NM_REGIAO,CD_UF,NM_UF,CD_MUN,CD_DIST,NM_MUN,NM_DIST,Total_setores,v0001,v0002,v0003,v0004,v0005,v0006,v0007
3,Sudeste,31,Minas Gerais,3125952,312595210,Fervedouro,Bom Jesus do Madeira,4,939,493,491,2,2.608333333,,360
3,Sudeste,31,Minas Gerais,3125952,312595220,Fervedouro,São Pedro do Glória,4,1382,610,610,0,2.79757085,0.20242915,494
3,Sudeste,31,Minas Gerais,3125952,312595225,Fervedouro,Samambaia da Paz,7,971,424,424,0,2.96941896,,327
3,Sudeste,31,Minas Gerais,3126000,312600005,Florestal,Florestal,21,8045,4829,4821,8,2.654190129,4.272938059,3019
3,Sudeste,31,Minas Gerais,3126109,312610905,Formiga,Formiga,142,64462,29620,29598,22,2.587243015,3.799521512,24661
3,Sudeste,31,Minas Gerais,3126109,312610910,Formiga,Albertos,8,833,1058,1058,0,2.233243968,4.289544236,373
3,Sudeste,31,Minas Gerais,3126109,312610915,Formiga,Baiões,7,919,950,950,0,2.344387755,4.591836735,392
3,Sudeste,31,Minas Gerais,3126109,312610925,Formiga,Pontevila,20,2034,3077,3074,3,2.719251337,4.010695187,748
3,Sudeste,31,Minas Gerais,3126208,312620805,Formoso,Formoso,25,6898,3233,3218,15,2.874843554,1.627033792,2397
3,Sudeste,31,Minas Gerais,3126208,312620815,Formoso,Goiasminas,4,1051,487,484,3,2.97733711,,353
3,Sudeste,31,Minas Gerais,3126307,312630705,Fortaleza de Minas,Fortaleza de Minas,14,3477,2071,2067,4,2.500719424,0.431654676,1390
